City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bintulu,MY,82.81,few clouds,3.1667,113.0333,900 Boutique INN
16,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,hotel la terminal
29,Atuona,PF,78.12,scattered clouds,-9.8,-139.0333,Villa Enata
32,Laguna,US,88.92,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
33,Faanui,PF,78.58,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Puerto Cabezas,NI,78.55,overcast clouds,14.0351,-83.3888,Cabaña Caribe
42,Kimbe,PG,89.1,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
45,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
47,Novobureyskiy,RU,78.21,overcast clouds,49.798,129.8774,-
50,Marawi,PH,76.98,overcast clouds,7.9986,124.2928,Derogongan Residence
53,Norman Wells,CA,84.24,smoke,65.282,-126.8329,Heritage Hotel
54,Hithadhoo,MV,81.36,overcast clouds,-0.6,73.0833,Scoop Guest House
57,Markapur,IN,77.47,overcast clouds,15.7333,79.2833,VIHARI GRAND INN
59,Saint Anthony,US,76.89,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
61,Waingapu,ID,81.03,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
64,Thompson,CA,77.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
65,Katsuura,JP,78.49,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
70,Linxia,CN,77.07,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
72,Butaritari,KI,81.57,light rain,3.0707,172.7902,Isles Sunset Lodge
74,Matara,LK,82.04,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
75,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
81,Lakatoro,VU,81.5,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
85,Abeche,TD,75.47,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
89,Berbera,SO,86.49,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
90,Xining,CN,76.8,scattered clouds,36.6167,101.7667,Super Leisure Hotel
92,Bengkulu,ID,81.84,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
97,Georgetown,MY,85.95,light rain,5.4112,100.3354,Cititel Penang
103,Bandarbeyla,SO,77.79,clear sky,9.4942,50.8122,JABIR HOTEL
112,Xichang,CN,78.4,clear sky,27.8964,102.2634,Xichang ibis Hotel
115,Erenhot,CN,77.43,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
116,Tual,ID,79.05,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
117,College,US,84.58,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
118,Cortez,US,80.04,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
122,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
129,Celestun,MX,81.03,scattered clouds,20.8667,-90.4,Posada Lilia
141,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Shishime Hotel
143,Itoman,JP,88.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
144,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
157,Porto Novo,BJ,78.62,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
169,Kavieng,PG,85.21,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
177,Wanning,CN,85.23,broken clouds,18.8003,110.3967,Paradise Hotel
180,Mersing,MY,85.91,scattered clouds,2.4312,103.8405,Timotel Hotel
183,Itarema,BR,77.07,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
189,Haapiti,PF,78.53,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
203,Benton Harbor,US,75.85,overcast clouds,42.1167,-86.4542,The Boulevard Inn & Bistro
205,Manicaragua,CU,75.65,clear sky,22.1494,-79.9736,Hostal Las V
210,Meulaboh,ID,82.13,overcast clouds,4.1363,96.1285,Kost Pria
211,Korla,CN,87.26,few clouds,41.7597,86.1469,Gulisitan Hotel
212,Vao,NC,75.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
215,Bacolod,PH,83.62,overcast clouds,10.6667,122.95,Planta Hotel & Residences
216,Hami,CN,89.74,clear sky,42.8,93.45,Laoyutang Resort
219,Isangel,VU,84.31,few clouds,-19.55,169.2667,Tanna Lodge
220,Atar,MR,87.24,broken clouds,20.5169,-13.0499,Oumou Elghoura
227,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
234,Rizhao,CN,88.27,broken clouds,35.4275,119.4553,Novotel Rizhao Suning
235,Kota Kinabalu,MY,82.38,scattered clouds,5.9749,116.0724,Gaya Centre Hotel
240,Puerto El Triunfo,SV,79.34,scattered clouds,13.2833,-88.55,Hotel Jardin
244,Pasighat,IN,85.73,broken clouds,28.0667,95.3333,Siang Guest House
245,Do Gonbadan,IR,80.69,clear sky,30.3586,50.7981,مسافرخانه شادی
246,Qianan,CN,80.29,clear sky,44.9932,124.0581,Qian'an Hotel
250,Daru,PG,79.86,overcast clouds,-9.0763,143.2092,Daru Lodge
254,Pangkalanbuun,ID,86.61,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
259,Maraba,BR,77.18,clear sky,-5.3686,-49.1178,Hotel Del Principe
263,Nishihara,JP,87.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
264,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
270,Tabou,CI,75.18,overcast clouds,4.423,-7.3528,hotêl doufoulougou
281,Fairbanks,US,87.03,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
283,Cabo San Lucas,MX,89.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
285,Russell,US,77.97,overcast clouds,32.3502,-85.1999,Macs
286,Dingle,PH,84.51,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
288,Pingliang,CN,89.17,overcast clouds,35.5392,106.6861,North Gate Hostel
289,San Antero,CO,79.68,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
292,Mayo,US,80.26,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
293,Los Algarrobos,PA,77.41,scattered clouds,8.5,-82.4333,Waterfall Hostel
294,Talladega,US,81.48,mist,33.4359,-86.1058,"Holiday Inn Express & Suites Talladega, an IHG Hotel"
300,Port Blair,IN,82.44,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
303,Tura,IN,83.64,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
304,Kuala Lipis,MY,85.71,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
308,Pringsewu,ID,84.76,few clouds,-5.3582,104.9744,Urban Style by Front One
309,Kalmunai,LK,84.04,overcast clouds,7.4167,81.8167,VS Villa
311,Abu Zabad,SD,75.99,light rain,12.35,29.25,حامد محمد نور
312,Manjeshwar,IN,76.15,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
313,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
329,Gizo,SB,83.93,overcast clouds,-8.103,156.8419,Imagination Island
330,Ures,MX,88.74,scattered clouds,29.4333,-110.4,HOTEL SAHUARO HOUSE
331,Manicore,BR,77.61,broken clouds,-5.8092,-61.3003,Hotel Durval
332,Dogondoutchi,NE,82.26,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
338,Douglas,US,76.95,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
339,Manaus,BR,79.3,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
340,Trinidad,BO,75.56,scattered clouds,-14.8333,-64.9,Hotel Piesta
341,Ingleside,US,86.02,clear sky,27.8778,-97.2117,Quality Inn Ingleside - Corpus Christi
343,Tondano,ID,82.49,broken clouds,1.3038,124.9112,Villa Bella
344,Praxedis Guerrero,MX,88.05,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
347,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
351,Tursunzoda,TJ,85.59,clear sky,38.5144,68.2333,Osoishgokhi Tabobati
360,Tuskegee,US,78.1,overcast clouds,32.424,-85.6916,Macon Motel
364,Shwebo,MM,87.08,overcast clouds,22.5667,95.7,MOON SHINE Guest House
367,Pulandian,CN,87.71,clear sky,39.3953,121.9669,HR East Hotel
368,Montornes Del Valles,ES,77.14,clear sky,41.5333,2.2667,Hotel Montmeló
369,Les Cayes,HT,78.64,overcast clouds,18.2,-73.75,Villa Orphee
370,Kutum,SD,76.5,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
371,Bahia Honda,CU,78.85,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
372,Saint-Marc,HT,82.42,overcast clouds,19.1082,-72.6938,Maguana Hotel
376,Pasni,PK,81.25,overcast clouds,25.2631,63.471,Kashmiri Hotal
383,Panaba,MX,79.59,few clouds,21.2833,-88.2667,Hotel Don Fernando
385,Ambulu,ID,79.56,clear sky,-8.345,113.6058,Hotel Ambulu Jember
389,Papar,MY,82.4,light rain,5.7333,115.9333,Koposizon Homestay
391,Akyab,MM,83.35,overcast clouds,20.15,92.9,Hotel Memory
393,Akhtubinsk,RU,77.72,broken clouds,48.2795,46.1722,Vzlet
397,Sovetskiy,RU,76.39,clear sky,61.3614,63.5842,Apartment on Kievskaya 29
398,Yatou,CN,89.42,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
399,Hirara,JP,84.65,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
400,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
402,Manavalakurichi,IN,80.49,overcast clouds,8.1333,77.3,Jebinrio home
405,Lorengau,PG,82.51,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
406,Asilah,MA,80.56,clear sky,35.465,-6.0348,Hotel Zelis
408,Magaria,NE,82.6,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
414,Amuntai,ID,86.34,overcast clouds,-2.4177,115.2494,Hotel Balqis
417,Wuwei,CN,87.26,few clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
419,Darnah,LY,77.4,clear sky,32.767,22.6367,فندق الفردوس
425,Peravurani,IN,84.54,overcast clouds,10.3,79.1833,Eka RESIDENCY A/C
430,Huntsville,US,85.21,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
433,Pochutla,MX,80.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
434,Harper,LR,75.15,light rain,4.375,-7.7169,Screensaver
435,Guilin,CN,87.26,few clouds,25.2819,110.2864,Grand 0773 Hotel
440,Kedougou,SN,76.42,overcast clouds,12.5579,-12.1743,Relais de Kédougou
441,Marsa Matruh,EG,76.06,clear sky,31.3525,27.2453,Beau Site
448,Labuan,MY,82.29,light rain,5.2767,115.2417,Tiara Labuan Hotel
452,Chapel Hill,US,77.92,scattered clouds,35.9132,-79.0558,The Carolina Inn
458,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
464,Magnolia,US,83.73,clear sky,33.2671,-93.2393,Budget Inn
466,Veraval,IN,81.91,moderate rain,20.9,70.3667,Lords Inn Somnath
468,Esso,RU,82.22,overcast clouds,55.9333,158.7,Paramushir Tur
469,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
471,Altay,CN,76.77,broken clouds,47.8667,88.1167,Jinqiao Hotel
474,Novyy Urengoy,RU,75.88,broken clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
476,Matamoros,MX,86.72,broken clouds,25.5333,-103.25,Quinta Belem
477,Aquiraz,BR,75.29,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
479,Kotma,IN,85.51,few clouds,23.2,81.9667,Adil ka ghar
481,Shingu,JP,78.42,light rain,33.7333,135.9833,Shingu UI Hotel
484,Ende,ID,79.66,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
485,Labuhan,ID,81.1,scattered clouds,-6.8844,112.2051,DoubleFAG
487,Nago,JP,88.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
492,Alofi,NU,76.73,scattered clouds,-19.0595,-169.9187,Taloa Heights
494,Iracoubo,GF,76.93,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
496,Kashi,CN,81.91,overcast clouds,39.4547,75.9797,帕米尔青年旅舍
498,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
504,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
507,Havelock,US,84.15,overcast clouds,34.8791,-76.9013,Sherwood Motel
509,Buraydah,SA,83.68,broken clouds,26.326,43.975,Mövenpick Qassim
518,Umm Lajj,SA,82.13,overcast clouds,25.0213,37.2685,Moon light Furnished Units
521,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
523,Aksu,CN,84.34,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
525,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
528,Ukiah,US,76.89,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
529,Marsh Harbour,BS,82.15,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
531,Canon City,US,81.39,clear sky,38.441,-105.2424,Travel Inn Motel
537,Vega De Alatorre,MX,79.07,overcast clouds,20.0333,-96.6333,Hotel D Luxe
543,Weihai,CN,82.44,scattered clouds,37.5017,122.1136,Beihai Travel Resort
544,Dolinsk,RU,75.81,scattered clouds,47.35,142.8,"Gostinitsa ""Yubileynaya"""
546,Coahuayana,MX,78.6,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
547,Keningau,MY,85.51,broken clouds,5.3378,116.1602,Sabindo Hotel
548,Toyooka,JP,86.74,broken clouds,35.5333,134.8333,O Hotel Toyooka
549,Hit,IQ,87.98,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
551,Nouakchott,MR,75.13,scattered clouds,18.0858,-15.9785,HOTEL IMAN
552,Phanat Nikhom,TH,87.48,overcast clouds,13.4458,101.1844,I-Destiny Gallery Resort
