City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coquimbo,CL,-29.9533,-71.3436,53.33,76,40,3.44,scattered clouds
1,Torbay,CA,47.6666,-52.7314,56.26,86,20,5.75,few clouds
2,Bintulu,MY,3.1667,113.0333,82.81,83,20,3.44,few clouds
3,Busselton,AU,-33.65,115.3333,63.25,91,100,23.17,light rain
4,Punta Arenas,CL,-53.15,-70.9167,33.91,93,100,6.91,fog
5,Bethel,US,41.3712,-73.414,73.04,86,100,2.93,overcast clouds
6,Parthenay,FR,46.6667,-0.4167,62.49,61,9,8.28,clear sky
7,Mataura,NZ,-46.1927,168.8643,43.48,94,100,8.46,overcast clouds
8,Naqadeh,IR,36.9553,45.388,69.8,55,0,4.76,clear sky
9,Trojes,AL,41.756,19.962,65.57,87,74,9.06,broken clouds
10,Kunda,IN,25.7167,81.5167,96.3,42,88,15.41,overcast clouds
11,Hobart,AU,-42.8794,147.3294,53.46,80,75,14.97,broken clouds
12,Kyakhta,RU,50.3508,106.4494,64.85,64,96,7.85,overcast clouds
13,Clyde River,CA,70.4692,-68.5914,37.63,87,0,5.75,clear sky
14,Rikitea,PF,-23.1203,-134.9692,74.28,81,100,21.45,light rain
15,Nikolskoye,RU,59.7035,30.7861,60.8,79,100,4.45,overcast clouds
16,Hilo,US,19.7297,-155.09,84.27,78,75,12.66,broken clouds
17,Walvis Bay,NA,-22.9575,14.5053,58.15,94,0,3.44,clear sky
18,Henties Bay,NA,-22.116,14.2845,56.75,88,0,5.28,clear sky
19,Havoysund,NO,70.9963,24.6622,50.23,89,98,6.89,light rain
20,Gari,RU,59.4307,62.3497,73.71,65,2,3.96,clear sky
21,Ushuaia,AR,-54.8,-68.3,31.66,80,75,13.8,broken clouds
22,Tiksi,RU,71.6872,128.8694,47.59,56,100,10.76,overcast clouds
23,Chuy,UY,-33.6971,-53.4616,52.5,84,83,12.46,light rain
24,Kruisfontein,ZA,-34.0033,24.7314,61.27,27,0,14.7,clear sky
25,Poum,NC,-20.2333,164.0167,77.97,82,8,16.24,clear sky
26,Ixtapa,MX,20.7,-105.2,77.23,92,100,3.24,overcast clouds
27,Cape Town,ZA,-33.9258,18.4232,56.91,66,0,6.91,clear sky
28,Yellowknife,CA,62.456,-114.3525,73.92,40,75,13.8,smoke
29,Atuona,PF,-9.8,-139.0333,78.12,78,35,16.4,scattered clouds
30,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,90.19,33,0,4.47,clear sky
31,Hermanus,ZA,-34.4187,19.2345,58.23,54,4,6.08,clear sky
32,Laguna,US,38.421,-121.4238,88.92,43,0,12.66,clear sky
33,Faanui,PF,-16.4833,-151.75,78.58,69,0,8.95,clear sky
34,Svetlogorsk,BY,52.6333,29.7333,59.07,78,100,4.83,overcast clouds
35,Flinders,AU,-34.5833,150.8552,62.19,54,6,7.0,clear sky
