City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2022-07-06 16:55:36,-21.2078,-159.775,71.65,60,100,6.91
1,Horta,PT,2022-07-06 16:55:36,38.5333,-28.6333,67.64,77,75,5.75
2,Bambous Virieux,MU,2022-07-06 16:55:37,-20.3428,57.7575,70.05,60,75,10.36
3,Jiexiu,CN,2022-07-06 16:55:37,37.0244,111.9125,77.56,31,0,2.93
4,Kshenskiy,RU,2022-07-06 16:55:37,51.8408,37.7136,74.93,66,99,6.93
5,Castro,BR,2022-07-06 16:55:38,-24.7911,-50.0119,70.38,40,100,7.76
6,Saint-Philippe,RE,2022-07-06 16:55:38,-21.3585,55.7679,67.59,75,70,11.88
7,Bredasdorp,ZA,2022-07-06 16:55:39,-34.5322,20.0403,49.5,83,11,2.04
8,Ntungamo,UG,2022-07-06 16:55:39,-0.8833,29.65,71.87,51,19,2.98
9,Alhandra,BR,2022-07-06 16:55:39,-7.4386,-34.9144,84.42,68,6,12.5
10,Albany,US,2022-07-06 16:52:07,42.6001,-73.9662,76.95,77,93,9.62
11,Rikitea,PF,2022-07-06 16:55:40,-23.1203,-134.9692,74.52,78,3,19.89
12,Ushuaia,AR,2022-07-06 16:55:40,-54.8,-68.3,31.62,74,0,6.91
13,Mahebourg,MU,2022-07-06 16:55:41,-20.4081,57.7,70.09,60,75,10.36
14,Qaanaaq,GL,2022-07-06 16:55:41,77.484,-69.3632,39.52,96,100,1.28
15,Codrington,AU,2022-07-06 16:55:42,-38.2667,141.9667,46.36,84,40,8.3
16,Saskylakh,RU,2022-07-06 16:55:42,71.9167,114.0833,53.58,63,100,3.42
17,Urumqi,CN,2022-07-06 16:55:42,43.801,87.6005,68.95,53,0,4.47
18,Hobart,AU,2022-07-06 16:54:18,-42.8794,147.3294,47.26,88,31,5.53
19,Zhezkazgan,KZ,2022-07-06 16:55:43,47.8043,67.7144,62.98,67,90,6.49
20,Lixourion,GR,2022-07-06 16:55:44,38.2019,20.4314,82.65,70,0,14.36
21,Upernavik,GL,2022-07-06 16:55:44,72.7868,-56.1549,39.83,79,21,10.13
22,Mitsamiouli,KM,2022-07-06 16:55:44,-11.3847,43.2844,77.29,69,20,11.5
23,Tiksi,RU,2022-07-06 16:55:45,71.6872,128.8694,34.43,92,77,3.91
24,Vaini,TO,2022-07-06 16:55:45,-21.2,-175.2,71.76,83,20,8.05
25,Butaritari,KI,2022-07-06 16:55:46,3.0707,172.7902,82.56,75,99,20.36
26,Havoysund,NO,2022-07-06 16:55:46,70.9963,24.6622,57.43,82,86,9.04
27,Jamestown,US,2022-07-06 16:51:49,42.097,-79.2353,74.52,81,100,4.61
28,Vicuna,CL,2022-07-06 16:55:46,-30.0319,-70.7081,68.77,24,6,5.21
29,Bathsheba,BB,2022-07-06 16:55:48,13.2167,-59.5167,86.61,79,20,18.41
30,Hilo,US,2022-07-06 16:52:55,19.7297,-155.09,83.28,85,75,6.91
31,Pisco,PE,2022-07-06 16:55:48,-13.7,-76.2167,63.01,77,85,8.05
32,Port Alfred,ZA,2022-07-06 16:54:21,-33.5906,26.891,57.18,92,23,12.37
33,Bereda,ES,2022-07-06 16:55:49,43.2686,-7.5406,71.42,85,0,10.45
34,Cape Town,ZA,2022-07-06 16:53:07,-33.9258,18.4232,60.89,73,0,10.36
35,Ribeira Grande,PT,2022-07-06 16:55:49,38.5167,-28.7,68.4,77,75,5.75
36,Atuona,PF,2022-07-06 16:55:50,-9.8,-139.0333,77.59,77,17,21.56
37,Tasiilaq,GL,2022-07-06 16:55:50,65.6145,-37.6368,38.91,83,100,5.37
38,Olafsvik,IS,2022-07-06 16:55:51,64.8945,-23.7142,53.78,74,96,6.98
39,Busselton,AU,2022-07-06 16:54:39,-33.65,115.3333,48.02,85,4,10.4
40,Barra Patuca,HN,2022-07-06 16:55:52,15.8,-84.2833,84.47,65,99,11.39
41,Ocampo,MX,2022-07-06 16:55:53,21.65,-101.5,70.59,37,2,6.69
42,Hamilton,US,2022-07-06 16:51:43,39.1834,-84.5333,93.76,72,75,9.22
43,Sovetskiy,RU,2022-07-06 16:55:53,61.3614,63.5842,61.77,74,31,2.98
44,Inta,RU,2022-07-06 16:55:53,66.0317,60.1659,66.81,53,0,9.19
45,Cabo San Lucas,MX,2022-07-06 16:53:31,22.8909,-109.9124,89.62,58,29,8.48
46,Los Llanos De Aridane,ES,2022-07-06 16:55:55,28.6585,-17.9182,73.13,75,75,14.97
47,Mataura,NZ,2022-07-06 16:55:55,-46.1927,168.8643,40.42,87,93,1.92
48,Gunjur,GM,2022-07-06 16:56:55,13.2019,-16.7339,89.67,66,75,9.22
49,Nikolskoye,RU,2022-07-06 16:56:56,59.7035,30.7861,69.69,61,100,1.32
50,Catalina,US,2022-07-06 16:56:56,32.5056,-110.9211,91.6,28,0,5.01
51,Luderitz,NA,2022-07-06 16:56:56,-26.6481,15.1594,58.78,61,0,8.34
52,Puerto Ayora,EC,2022-07-06 16:56:57,-0.7393,-90.3518,73.54,86,35,10.0
53,Aranda De Duero,ES,2022-07-06 16:56:58,41.6704,-3.6892,77.47,38,42,21.65
54,Coquimbo,CL,2022-07-06 16:56:59,-29.9533,-71.3436,60.53,55,0,4.61
55,Pevek,RU,2022-07-06 16:56:59,69.7008,170.3133,32.27,96,100,8.63
56,Nanning,CN,2022-07-06 16:55:16,22.8167,108.3167,81.05,97,100,4.34
